"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ABSLFC","FC"
"MAP_3364c",6832.6737181763,3.16199108995401,0.0919633914724131,34.3831500701291,4.50339988268469e-259,1.92070004996502e-255,3.16199108995401,8.95064152919226
"MAP_2152c",2262.99446617177,-7.92824810346699,0.279184201519897,-28.3979109860267,2.14586801930159e-177,4.57606355116065e-174,7.92824810346699,-243.579364022928
"MAP_2727",4828.37119818138,6.40034612363792,0.233511750229081,27.4090966187313,2.13669151858493e-165,3.03766310892157e-162,6.40034612363792,84.4687691516594
"MAP_1668c",3830.66887736263,-2.89517383103882,0.109866106760225,-26.3518378543925,4.8894303257312e-153,5.2133550848109e-150,2.89517383103882,-7.43933585616118
"MAP_2257",1629.72418517267,-6.15656651139843,0.243991679765056,-25.2326903824208,1.7543261117784e-140,1.49644017334698e-137,6.15656651139843,-71.3364002298264
"MAP_2722c",2183.69038604387,4.12650342071808,0.167157745009212,24.6862831302891,1.50146562873899e-134,1.06729181776196e-131,4.12650342071808,17.4663157470918
"MAP_0478",3323.09314028362,2.42420245688439,0.109055685261277,22.2290332785169,1.79968324459743e-109,1.09652129117258e-106,2.42420245688439,5.3673220559672
"MAP_2726c",7648.09344771017,5.77051254259198,0.266187520784597,21.6783736727522,3.28275804855946e-104,1.75012038463826e-101,5.77051254259198,54.5880229765068
"MAP_2723c",1279.8782283329,3.9859559464541,0.201599482200525,19.7716576597621,5.22313098616291e-87,2.47518373955387e-84,3.9859559464541,15.8450021070353
"MAP_2724c",1510.65596656833,5.87576545490239,0.308200396640889,19.0647563044793,4.95581021730586e-81,2.11365305768095e-78,5.87576545490239,58.7194054272413
"MAP_3267c",3036.29207105908,2.8492120633959,0.150283549060756,18.9589085512216,3.72800193832976e-80,1.44544802427059e-77,2.8492120633959,7.20606698897608
"MAP_3834",23665.888007456,1.7198440250178,0.0910191661733453,18.89540519128,1.24428622501162e-79,4.4224006247288e-77,1.7198440250178,3.29400792270048
"MAP_3998c",2474.56211497553,-2.83801445651519,0.152686758593086,-18.587168151749,4.08166727676613e-77,1.3391008411852e-74,2.83801445651519,-7.15035294855517
"MAP_3694c",38155.9542091967,2.2846734066327,0.127405407819521,17.9323110826591,6.59792255880234e-72,2.01000997952086e-69,2.2846734066327,4.87253789800489
"MAP_1232",1965.14386172587,-3.1010207585968,0.175514283300028,-17.6681960025774,7.37168126415665e-70,2.09601470610854e-67,3.1010207585968,-8.58025639292969
"MAP_0393",705.071585631695,-2.13783900970056,0.127609006477394,-16.7530417226412,5.3803552702834e-63,1.43420095173492e-60,2.13783900970056,-4.40102329999456
"MAP_2149c",284.573385644862,-5.7256928632752,0.343283670659769,-16.6791879505098,1.85726412508066e-62,4.6595479373347e-60,5.7256928632752,-52.9182285688807
"MAP_2452c",3625.18778124787,-1.33813801299576,0.0808779262940659,-16.5451573044837,1.73510939017168e-61,4.11124530504567e-59,1.33813801299576,-2.52824804593644
"MAP_0455",1776.88540334501,2.03578267977464,0.123169756495452,16.5282674716485,2.2965012874948e-61,5.15504104798175e-59,2.03578267977464,4.10045123396295
"MAP_3262c",2021.72986902313,3.35332718405518,0.203327938074521,16.4922106416393,4.17394586597358e-61,8.90093955918866e-59,3.35332718405518,10.2200275771467
"MAP_2451c",5002.38592036647,-1.67755227145452,0.102104525343425,-16.4297543699668,1.17132436508135e-60,2.37890400812951e-58,1.67755227145452,-3.19884762320933
"MAP_0856c",546.847195388725,-2.23459019283946,0.139584902438025,-16.0088244058602,1.10885153752809e-57,2.14965991252605e-55,2.23459019283946,-4.70628990591015
"MAP_0339c",1343.14256621353,1.95976041762343,0.124706951630432,15.714925206665,1.19522166707462e-55,2.21635670003186e-53,1.95976041762343,3.88997374421582
"MAP_0522",1589.35789704298,-1.41267553780294,0.0899512068328686,-15.704909222927,1.3997790911209e-55,2.48752409317943e-53,1.41267553780294,-2.6623044067249
"MAP_1003c",13954.3580624475,-1.41292578771417,0.0918461409431595,-15.3836162652559,2.10835705948225e-53,3.59685714347671e-51,1.41292578771417,-2.66276625015615
"MAP_0480",575.374398850122,2.56970178614934,0.170360338195166,15.0839204322633,2.0662666569643e-51,3.38947203536644e-49,2.56970178614934,5.93686696911721
"MAP_3363c",2094.51299872977,2.96932676963365,0.197709987844509,15.018597704679,5.54687804455214e-51,8.76201291111662e-49,2.96932676963365,7.83170687960635
"MAP_0180",23449.779467349,2.11979856838335,0.141300877952841,15.0020197970095,7.12186485857202e-51,1.08481262935034e-48,2.11979856838335,4.34633256514811
"MAP_0479",931.871515753878,2.33170742530772,0.156105832786915,14.9367091778723,1.9013569937841e-50,2.79630606154799e-48,2.33170742530772,5.03400770720897
"MAP_2264c",3497.97267567548,1.51228434192384,0.101787042061537,14.8573365655873,6.23553627638365e-50,8.86485407292542e-48,1.51228434192384,2.85261360323255
"MAP_0179c",1589.24866448964,2.28362861284629,0.15411513610784,14.8176789802681,1.12608641313536e-49,1.54927695226527e-47,2.28362861284629,4.8690105036122
"MAP_1699",4080.08808385494,2.42707651759656,0.164298523045362,14.7723574905567,2.20850642833681e-49,2.94352497401765e-47,2.42707651759656,5.37802520851246
"MAP_3263c",613.154190121219,4.04273194299023,0.276501173017476,14.6210299901141,2.062561959546e-48,2.66570507801929e-46,4.04273194299023,16.4810007546859
"MAP_1007",1493.04926008421,2.19126020932407,0.152685885847048,14.3514261136039,1.04368758611733e-46,1.30921398670307e-44,2.19126020932407,4.56704248135064
"MAP_0128c",2434.59997116365,2.00687454330359,0.141618610144511,14.1709803623671,1.38552653273501e-45,1.68836304631852e-43,2.00687454330359,4.01910576524031
"MAP_0102",28711.1638677122,1.42182483715286,0.100444209095827,14.1553689351707,1.73027288781177e-45,2.04989274069922e-43,1.42182483715286,2.67924188861409
"MAP_3372c",3187.72198604232,-1.32047381968825,0.0948345181278457,-13.9239787975527,4.52969445169721e-44,5.22139103688881e-42,1.32047381968825,-2.49748120283569
"MAP_0477",1326.70414308355,2.24631425458551,0.163994331112241,13.6975116112281,1.05063584766543e-42,1.17920049744554e-40,2.24631425458551,4.74469139597455
"MAP_2455c",7642.01440589036,-1.4533067409048,0.106270890710005,-13.6754922368216,1.42241461865801e-42,1.55553803809651e-40,1.4533067409048,-2.73834978289556
"MAP_2453c",7408.52985713696,-1.49679182085969,0.109819584845308,-13.6295527156479,2.6721301103649e-42,2.84915873017658e-40,1.49679182085969,-2.82214442542512
"MAP_0141",1070.97410138706,3.30198509708381,0.243343779372972,13.5692192567737,6.09679793988264e-42,6.34215688136573e-40,3.30198509708381,9.86271672216533
"MAP_0072c",6623.34634904554,-1.53595982985009,0.113686001458149,-13.5105449232948,1.3551465255731e-41,1.37611903132602e-39,1.53595982985009,-2.89981292274671
"MAP_1609c",8056.91121446216,-1.23279396803678,0.0913215685967409,-13.4994830572892,1.57477213976319e-41,1.56195422699768e-39,1.23279396803678,-2.35021699726791
"MAP_3714",3062.10396821319,-1.20708092087108,0.0902503098953179,-13.3748119233184,8.48680941310753e-41,8.22641866975082e-39,1.20708092087108,-2.30870032657336
