,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,ABSLFC,FC
MAP_0653,55.7942503,-0.598412921,0.209799263,-2.852311832,0.00434025,0.011099405,0.598412921,-1.514050075
MAP_3156c,47.33127835,-0.58653224,0.206239737,-2.843934196,0.004456025,0.011368744,0.58653224,-1.501632979
MAP_1417c,1000.384936,-1.511882074,0.53408579,-2.830785057,0.004643391,0.011770835,1.511882074,-2.851818317
MAP_1366,47.3065777,0.610850448,0.216875664,2.816592865,0.004853601,0.012253723,0.610850448,1.527159182
MAP_3747c,97.67891538,-0.610549784,0.21722217,-2.810715795,0.004943143,0.012465317,0.610549784,-1.526840948
MAP_0963c,25.87159494,0.796611645,0.283665871,2.808274541,0.004980774,0.012545668,0.796611645,1.737016724
MAP_1727,78.82561609,-0.605250408,0.216095709,-2.800844177,0.005096912,0.012786372,0.605250408,-1.521242772
MAP_0033c,14.79476928,0.940291818,0.335908103,2.799253156,0.005122096,0.012842143,0.940291818,1.918916344
MAP_0074,12.70933666,0.883149773,0.316271947,2.792374672,0.005232273,0.013080683,0.883149773,1.844397702
MAP_3046c,16.39729951,-0.828764487,0.297262162,-2.787991855,0.005303588,0.013215552,0.828764487,-1.776163618
MAP_0191c,99.41989951,-0.63798381,0.229710058,-2.777343822,0.005480517,0.01361522,0.63798381,-1.55615289
MAP_0351,41.77161911,0.886297736,0.319350376,2.775314519,0.005514835,0.013692654,0.886297736,1.848426574
MAP_3096,19.236409,-0.780397304,0.281649416,-2.770811014,0.005591687,0.013859737,0.780397304,-1.717603819
MAP_2608,4.515896363,-1.970515896,0.711599248,-2.769137124,0.005620497,0.013923214,1.970515896,-3.91908237
MAP_2656,30.49455848,0.725974688,0.262646333,2.764076998,0.005708407,0.014116867,0.725974688,1.654017717
MAP_2406c,4317.251024,-1.157565946,0.418900535,-2.763343202,0.005721257,0.014140608,1.157565946,-2.230807375
MAP_3301c,251.0606706,-0.611372062,0.221897029,-2.755206161,0.005865516,0.014447903,0.611372062,-1.527711435
MAP_1743c,594.2120015,1.940119266,0.706661784,2.74547076,0.006042415,0.014849854,1.940119266,3.837373697
MAP_2618c,51.52579235,0.623536027,0.227526934,2.740493259,0.006134704,0.015051304,0.623536027,1.540646663
MAP_3254,29.075101,1.03144641,0.376755898,2.73770475,0.006186959,0.01515387,1.03144641,2.044072561
MAP_2426c,37.34147605,-0.754424248,0.27560566,-2.737332202,0.006193971,0.015162506,0.754424248,-1.686958225
MAP_2154c,52.11521491,-0.850417624,0.315179512,-2.698200835,0.006971537,0.016782615,0.850417624,-1.803022779
